PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2006-12-15.73,C/2006 X11 SOHO-1237,R.Matson,C2,0.0051
2006-12-18.43,C/2006 Y3 SOHO-1238,S.Yuan,C2 C3,0.0077
2006-12-20.41,C/2006 Y4 SOHO-1239,R.Kracht,C2,0.0050
2006-12-22.11,C/2006 Y5 SOHO-1240,T.Hoffman,C2 C3,0.0048
2006-12-22.23,C/2006 Y7 SOHO-1242,R.Kracht,C2,0.0051
2006-12-22.24,C/2006 Y8 SOHO-1243,T.Hoffman,C2,0.0051
2006-12-22.28,C/2006 Y9 SOHO-1244,M.Mazzucato,C2,0.0050
2006-12-22.53,C/2006 Y6 SOHO-1241,B.Zhou,C2 C3,0.0048
2006-12-23.88,C/2006 Y10 SOHO-1245,T.Hoffman,C2 C3,0.0053
2006-12-25.33,C/2006 Y11 SOHO-1246,M.Mazzucato,C2 C3,0.0061
2006-12-28.24,C/2006 Y12 SOHO-1249,R. Kracht,C2,0.0048
2006-12-28.82,C/2006 Y14 SOHO-1248,R.Kracht,C2,0.0049
2006-12-28.83,C/2006 Y13 SOHO-1247,M.-T. Hui,C2 C3,0.0050
2006-12-29.80,C/2006 Y15 SOHO-1250,M.-T. Hui,C2 C3,0.0049
2006-12-29.75,C/2006 Y16 SOHO-1251,H.Su,C3,0.0049
2006-12-30.26,C/2006 Y17 SOHO-1252,A.Watson,C2,0.0064
